tweet,tweet_is_directed_at,emotion,character_count,word_count,is_tweet_negative,is_apple,number_of_mentions,hashtags_count,average_word_length
😞 Apple's iOS update ruined my apps.,Apple,negative,37,7,1,1,0,0,5.3
🙄 Google Photos auto-tagging is so inaccurate.,Google,negative,43,8,1,0,0,0,5.4
😖 I'm so disappointed with Apple's product announcements.,Apple,negative,53,9,1,1,0,0,5.9
🤯 Google Meet audio problems are frustrating.,Google,negative,41,8,1,0,0,0,5.1
😡 Why does Apple's iPhone battery drain so fast?,Apple,negative,48,9,1,1,0,0,5.3
🤬 Google Drive offline issues are a headache.,Google,negative,43,8,1,0,0,0,5.4
😠 Google's search algorithm is infuriating!,Google,negative,42,7,1,0,0,0,6
😡 Apple's customer service is absolutely terrible!,Apple,negative,47,8,1,1,0,0,5.9
😤 Google Maps keeps giving wrong directions!,Google,negative,43,7,1,0,0,0,6.1
🙄 Apple's software updates are a nightmare!,Apple,negative,42,7,1,1,0,0,6
😒 Google Assistant never understands what I want.,Google,negative,47,8,1,0,0,0,5.9
😢 Apple's products are so overpriced and mediocre.,Apple,negative,48,9,1,1,0,0,5.3
😡 Google Pixel's camera quality is disappointing.,Google,negative,48,7,1,0,0,0,6.9
😩 Apple's iPhone battery life is so frustrating!,Apple,negative,48,8,1,1,0,0,6
😠 Google Chrome crashes way too often!,Google,negative,38,7,1,0,0,0,5.4
😡 Apple's MacBook keyboard is a disaster!,Apple,negative,40,7,1,1,0,0,5.7
😤 Google Drive's storage limitations are annoying.,Google,negative,47,8,1,0,0,0,5.9
😒 I can't believe Apple charges so much for repairs.,Apple,negative,51,10,1,1,0,0,5.1
😭 Google Photos deleted all my pictures!,Google,negative,40,7,1,0,0,0,5.7
😠 Apple's software bugs are driving me crazy!,Apple,negative,45,8,1,1,0,0,5.6
😡 Google Hangouts is a disaster for group calls.,Google,negative,43,8,1,0,0,0,5.4
🙄 Apple's product announcements are underwhelming.,Apple,negative,47,8,1,1,0,0,5.9
😒 I'm so tired of Google's constant updates.,Google,negative,42,7,1,0,0,0,6
😠 Apple's customer support never helps!,Apple,negative,40,7,1,1,0,0,5.7
😡 Google Pixel's battery drains too quickly!,Google,negative,42,7,1,0,0,0,6
😤 Apple's MacBook is slow and frustrating.,Apple,negative,40,7,1,1,0,0,5.7
😒 Why does Google Drive have syncing issues?,Google,negative,43,8,1,0,0,0,5.4
😡 I can't believe Apple removed the headphone jack.,Apple,negative,51,10,1,1,0,0,5.1
😡 Ugh! Why is Google Maps always so wrong?,Google,negative,40,8,1,0,0,0,5
"😤 Seriously, Apple's products are overpriced!",Apple,negative,42,7,1,1,0,0,6
😠 I hate Google's constant software bugs!,Google,negative,39,7,1,0,0,0,5.6
😩 Apple's customer service is a nightmare!,Apple,negative,42,8,1,1,0,0,5.3
😒 Why does Google make everything so complicated?,Google,negative,48,7,1,0,0,0,6.9
😡 I'm so frustrated with Apple's lack of innovation.,Apple,negative,52,10,1,1,0,0,5.2
😤 Google's search results are useless!,Google,negative,37,7,1,0,0,0,5.3
😒 Apple's software updates always mess things up!,Apple,negative,45,8,1,1,0,0,5.6
😡 I can't stand Google's constant ads!,Google,negative,37,7,1,0,0,0,5.3
😩 Apple's products are so disappointing!,Apple,negative,39,7,1,1,0,0,5.6
😠 I'm so done with Google's privacy issues!,Google,negative,42,8,1,0,0,0,5.3
😒 Apple's customer support is useless!,Apple,negative,39,7,1,1,0,0,5.6
😤 Google's user interface is infuriating!,Google,negative,40,7,1,0,0,0,5.7
😡 Apple's lack of innovation is frustrating!,Apple,negative,42,7,1,1,0,0,6
😩 I can't believe Google made this so complicated!,Google,negative,52,10,1,0,0,0,5.2
😒 Apple's constant software bugs are annoying!,Apple,negative,46,8,1,1,0,0,5.8
😤 Google's customer service is terrible!,Google,negative,40,7,1,0,0,0,5.7
😠 Apple's products are way too expensive!,Apple,negative,41,7,1,1,0,0,5.9
😡 Google's constant updates are annoying!,Google,negative,40,7,1,0,0,0,5.7
😩 I'm so frustrated with Apple's lack of innovation.,Apple,negative,52,10,1,1,0,0,5.2
😞 Google's new feature is a huge letdown!,Google,negative,40,8,1,0,0,0,5
😢 I'm so disappointed with Apple's service!,Apple,negative,42,7,1,1,0,0,6
😩 Google's updates always ruin things!,Google,negative,37,7,1,0,0,0,5.3
😒 Apple's products are not worth the hype!,Apple,negative,42,8,1,1,0,0,5.3
😡 Why does Google make everything complicated?,Google,negative,46,7,1,0,0,0,6.6
😞 I'm extremely disappointed with Apple's update.,Apple,negative,47,9,1,1,0,0,5.2
😤 Google's customer service is a disaster!,Google,negative,41,7,1,0,0,0,5.9
😢 I'm so disappointed with Apple's latest product.,Apple,negative,49,8,1,1,0,0,6.1
😠 Why does Google keep changing things?,Google,negative,38,7,1,0,0,0,5.4
😞 Apple's new update messed up everything!,Apple,negative,41,8,1,1,0,0,5.1
😩 Google's products are so disappointing!,Google,negative,41,7,1,0,0,0,5.9
😒 Apple's customer service is a joke!,Apple,negative,37,7,1,1,0,0,5.3
😞 I'm extremely disappointed with Google's changes.,Google,negative,49,10,1,0,0,0,4.9
😢 Apple's products used to be better quality!,Apple,negative,44,8,1,1,0,0,5.5
😤 Google's search results are underwhelming!,Google,negative,43,7,1,0,0,0,6.1
😞 I'm so disappointed with Apple's latest release.,Apple,negative,49,9,1,1,0,0,5.4
😠 Google's user interface is a mess!,Google,negative,38,7,1,0,0,0,5.4
😩 Apple's products don't live up to the hype!,Apple,negative,44,8,1,1,0,0,5.5
😞 I'm so disappointed with Google's latest update.,Google,negative,49,9,1,0,0,0,5.4
😡 Apple's customer service is so frustrating!,Apple,negative,44,8,1,1,0,0,5.5
😢 I can't believe Google made this change!,Google,negative,41,7,1,0,0,0,5.9
😒 Apple's product quality has gone downhill.,Apple,negative,43,7,1,1,0,0,6.1
😱 Oh no! Google's latest update is a disaster!,Google,negative,42,8,1,0,0,0,5.3
😭 I can't believe Apple's service is so bad!,Apple,negative,41,8,1,1,0,0,5.1
😫 Google's products are ruining my life!,Google,negative,42,7,1,0,0,0,6
😤 I am so disappointed with Apple's latest release.,Apple,negative,49,9,1,1,0,0,5.4
😱 Google's customer service is a nightmare!,Google,negative,41,7,1,0,0,0,5.9
😭 I'm devastated by Apple's lack of innovation!,Apple,negative,44,8,1,1,0,0,5.5
😫 Google's constant changes are overwhelming!,Google,negative,44,7,1,0,0,0,6.3
😤 I am utterly disappointed with Apple's products.,Apple,negative,47,9,1,1,0,0,5.2
😱 Google's latest feature is a total disaster!,Google,negative,44,8,1,0,0,0,5.5
😭 Apple's software update has ruined everything!,Apple,negative,46,8,1,1,0,0,5.8
😫 Why does Google keep breaking things?,Google,negative,41,7,1,0,0,0,5.9
😤 I am so frustrated with Apple's customer service.,Apple,negative,49,9,1,1,0,0,5.4
😱 Google's new update ruined my day!,Google,negative,38,7,1,0,0,0,5.4
😭 Apple's products are a total letdown!,Apple,negative,41,7,1,1,0,0,5.9
😫 I'm so done with Google's constant issues!,Google,negative,43,8,1,0,0,0,5.4
😤 I am beyond disappointed with Apple's latest update.,Apple,negative,52,9,1,1,0,0,5.8
😱 Google's products are a complete disaster!,Google,negative,41,7,1,0,0,0,5.9
😭 Apple's service is so frustrating!,Apple,negative,37,7,1,1,0,0,5.3
😫 Google's updates are causing chaos!,Google,negative,39,7,1,0,0,0,5.6
😤 I can't believe Apple's products are this bad!,Apple,negative,43,8,1,1,0,0,5.4
😱 Google's latest change is a nightmare!,Google,negative,40,7,1,0,0,0,5.7
😭 Apple's customer service is a disaster!,Apple,negative,40,7,1,1,0,0,5.7
😂 Google's AI thinks it's smarter than me!,Google,negative,41,8,1,0,0,0,5.1
😄 Apple's latest gadget is a disappointment.,Apple,negative,42,7,1,1,0,0,6
😆 Google Maps took me on a wild goose chase!,Google,negative,41,8,1,0,0,0,5.1
😝 Apple's software update be like... chaos!,Apple,negative,40,7,1,1,0,0,5.7
😂 Google Assistant is the queen of misunderstandings!,Google,negative,52,9,1,0,0,0,5.8
"😅 I just bought the new Apple product, and I'm unimpressed.",Apple,negative,58,10,1,1,0,0,5.8
😆 Google search results are funnier than my jokes!,Google,negative,51,10,1,0,0,0,5.1
"😝 Apple, are you kidding me with this update?",Apple,negative,40,8,1,1,0,0,5
"😂 I asked Google for help, it laughed at me!",Google,negative,42,8,1,0,0,0,5.3
😄 Apple's latest feature is a total facepalm moment.,Apple,negative,52,10,1,1,0,0,5.2
😆 Why does Google always think it knows better?,Google,negative,47,9,1,0,0,0,5.2
😝 Apple's customer service had me laughing out loud!,Apple,negative,54,11,1,1,0,0,4.9
"😂 Google, you need to up your game!",Google,negative,36,8,1,0,0,0,4.5
"😅 Apple's product got me like... ""Really?""",Apple,negative,41,8,1,1,0,0,5.1
😆 Why does Google make everything so complicated?,Google,negative,51,9,1,0,0,0,5.8
😝 Apple's latest update: disappointment level 100!,Apple,negative,53,9,1,1,0,0,5.9
"😂 I'm trying to be serious, Google, stop with the jokes!",Google,negative,58,11,1,0,0,0,5.3
😄 Apple's service is making me smile... sarcastically.,Apple,negative,53,10,1,1,0,0,5.3
😆 Google's latest update is comedy gold!,Google,negative,41,7,1,0,0,0,5.9
😝 Apple's products are becoming a running joke!,Apple,negative,43,8,1,1,0,0,5.4
"😂 Google, you've got to be kidding me!",Google,negative,40,8,1,0,0,0,5
😅 Apple's updates have me laughing... not!,Apple,negative,41,8,1,1,0,0,5.1
🙄 Google's stuff is just plain bad.,Google,negative,36,7,1,0,0,0,5.1
😏 I don't get why people like Apple products.,Apple,negative,46,8,1,1,0,0,5.8
🤔 Google's new feature is confusing AF.,Google,negative,42,8,1,0,0,0,5.3
😒 Apple's stuff is overrated and overpriced.,Apple,negative,46,8,1,1,0,0,5.8
🙄 Why does Google keep changing things?,Google,negative,41,7,1,0,0,0,5.9
"😏 Apple thinks it's so innovative, but it's not.",Apple,negative,48,9,1,1,0,0,5.3
🤔 Google's search results are garbage.,Google,negative,37,6,1,0,0,0,6.2
😒 Apple fans are so delusional.,Apple,negative,36,6,1,1,0,0,6
🙄 I don't understand why people use Google.,Google,negative,40,7,1,0,0,0,5.7
😏 Apple's products are just a waste of money.,Apple,negative,43,8,1,1,0,0,5.4
🤔 Google's software is so complicated.,Google,negative,38,7,1,0,0,0,5.4
😒 Apple users don't know any better.,Apple,negative,38,6,1,1,0,0,6.3
🙄 Google's customer service is useless.,Google,negative,42,8,1,0,0,0,5.3
😏 Apple's products are so outdated.,Apple,negative,39,6,1,1,0,0,6.5
"🤔 Google, what were you thinking?",Google,negative,37,6,1,0,0,0,6.2
😒 Apple's service is a joke.,Apple,negative,34,6,1,1,0,0,5.7
🙄 Why is Google so complicated to use?,Google,negative,42,7,1,0,0,0,5.3
😏 Apple needs to catch up with the times.,Apple,negative,40,8,1,1,0,0,5
🤔 Google's products are just meh.,Google,negative,37,6,1,0,0,0,6.2
"😒 Apple, do better.",Apple,negative,27,4,1,1,0,0,6.8
"🙄 Google, your apps are useless.",Google,negative,36,6,1,0,0,0,6
😏 Apple's software is a mess.,Apple,negative,34,6,1,1,0,0,5.7
🤔 I don't get the hype around Google.,Google,negative,34,6,1,0,0,0,5.7
😒 Apple's latest release is underwhelming.,Apple,negative,40,7,1,1,0,0,5.7
"🙄 Google, you need to step up your game.",Google,negative,38,7,1,0,0,0,5.4
🤨 Google's declining revenue is alarming.,Google,negative,41,7,1,0,0,0,5.9
😡 Apple's sales are not meeting targets.,Apple,negative,40,7,1,1,0,0,5.7
🤔 Google's future prospects look bleak.,Google,negative,40,6,1,0,0,0,6.7
😒 Apple's marketing strategy is failing.,Apple,negative,41,7,1,1,0,0,5.9
🙄 Google's latest product is a disappointment.,Google,negative,42,7,1,0,0,0,6
😤 Apple's leadership needs to step up.,Apple,negative,40,7,1,1,0,0,5.7
😩 Google's stock price is plummeting.,Google,negative,37,6,1,0,0,0,6.2
😒 Apple's lack of innovation is concerning.,Apple,negative,42,7,1,1,0,0,6
😡 Google's earnings report is disappointing.,Google,negative,39,6,1,0,0,0,6.5
🤨 Apple's latest product is a letdown.,Apple,negative,40,7,1,1,0,0,5.7
😤 Google's management team needs improvement.,Google,negative,41,6,1,0,0,0,6.8
😩 Apple's sales figures are disappointing.,Apple,negative,39,6,1,1,0,0,6.5
🤔 Google's strategic decisions are questionable.,Google,negative,45,8,1,0,0,0,5.6
😒 Apple's customer service is subpar.,Apple,negative,38,6,1,1,0,0,6.3
😤 Google's latest product failed to impress.,Google,negative,38,7,1,0,0,0,5.4
😡 Apple's stock performance is disappointing.,Apple,negative,40,7,1,1,0,0,5.7
🤨 Google's revenue growth is stagnating.,Google,negative,36,6,1,0,0,0,6
😒 Apple's lack of innovation is frustrating.,Apple,negative,40,7,1,1,0,0,5.7
🙄 Google's product quality is declining.,Google,negative,37,6,1,0,0,0,6.2
😤 Apple's sales strategy is not working.,Apple,negative,37,6,1,1,0,0,6.2
😩 Google's financials are disappointing.,Google,negative,37,6,1,0,0,0,6.2
😡 Apple's product lineup is uninspiring.,Apple,negative,37,6,1,1,0,0,6.2
🗳️ Vote for me and let's fix Apple's issues!,Apple,negative,44,10,1,1,0,0,4.4
🇺🇸 Support me and take on Google's monopoly!,Google,negative,43,9,1,0,0,0,4.8
"🗳️ Together, we can hold Apple accountable!",Apple,negative,44,9,1,1,0,0,4.9
🇺🇸 Vote for me and break free from Google's grasp!,Google,negative,49,11,1,0,0,0,4.5
🗳️ Let's elect a leader who challenges Apple!,Apple,negative,45,8,1,1,0,0,5.6
🇺🇸 Vote for me and take on Google's data collection!,Google,negative,49,11,1,0,0,0,4.5
🗳️ Elect me to protect consumers from Apple's greed!,Apple,negative,49,10,1,1,0,0,4.9
🇺🇸 Vote for me and stop Google's censorship!,Google,negative,44,8,1,0,0,0,5.5
"🗳️ Together, let's hold Apple accountable for their actions!",Apple,negative,57,11,1,1,0,0,5.2
🇺🇸 Vote for me and challenge Google's dominance!,Google,negative,49,10,1,0,0,0,4.9
🗳️ Elect me and push for fair competition in the tech industry!,Apple,negative,63,12,1,1,0,0,5.3
🇺🇸 Vote for me and stand against Google's privacy breaches!,Google,negative,55,10,1,0,0,0,5.5
"🗳️ Together, let's demand transparency from Apple!",Apple,negative,55,9,1,1,0,0,6.1
🇺🇸 Vote for me and put an end to Google's tax evasion!,Google,negative,54,11,1,0,0,0,4.9
🗳️ Elect me to champion fair competition with Apple!,Apple,negative,53,10,1,1,0,0,5.3
🇺🇸 Vote for me and challenge Google's anti-competitive practices!,Google,negative,58,11,1,0,0,0,5.3
"🗳️ Together, let's tackle Apple's market dominance!",Apple,negative,56,10,1,1,0,0,5.6
🇺🇸 Vote for me and stop Google's data mining!,Google,negative,47,9,1,0,0,0,5.2
🗳️ Elect me and demand better privacy protection from Apple!,Apple,negative,57,10,1,1,0,0,5.7
🇺🇸 Vote for me and stand up against Google's bias!,Google,negative,49,9,1,0,0,0,5.4
📈 Apple's stock performance disappoints investors.,Apple,negative,48,7,1,1,0,0,6.9
"📉 Google's revenue growth slows down, concerning.",Google,negative,49,8,1,0,0,0,6.1
📈 Apple's sales figures fail to meet expectations.,Apple,negative,48,8,1,1,0,0,6
"📉 Google's stock price tumbles, investors worried.",Google,negative,48,7,1,0,0,0,6.9
📈 Apple's latest product launch disappoints market.,Apple,negative,51,9,1,1,0,0,5.7
📉 Google's earnings report underperforms estimates.,Google,negative,51,8,1,0,0,0,6.4
"📈 Despite positive news, Apple's stock falls sharply.",Apple,negative,53,8,1,1,0,0,6.6
📉 Google's market share decline raises concerns.,Google,negative,49,7,1,0,0,0,7
📈 Apple's revenue forecast disappoints investors.,Apple,negative,48,7,1,1,0,0,6.9
"📉 Google's profit margins shrink, alarming analysts.",Google,negative,51,8,1,0,0,0,6.4
📈 Apple's sales growth lags behind expectations.,Apple,negative,49,7,1,1,0,0,7
"📉 Google's R&D expenses surge, worrying investors.",Google,negative,51,8,1,0,0,0,6.4
📈 Apple's latest innovation fails to impress market.,Apple,negative,53,8,1,1,0,0,6.6
"📉 Google's user growth stagnates, raising doubts.",Google,negative,50,7,1,0,0,0,7.1
"📈 Apple's profitability declines, concerns investors.",Apple,negative,53,8,1,1,0,0,6.6
📉 Google's advertising revenue misses targets.,Google,negative,47,7,1,0,0,0,6.7
"📈 Despite strong sales, Apple's stock plummets.",Apple,negative,47,7,1,1,0,0,6.7
"📉 Google's competition intensifies, affects stock.",Google,negative,50,7,1,0,0,0,7.1
📈 Apple's product reliability concerns investors.,Apple,negative,48,7,1,1,0,0,6.9
📉 Google's regulatory challenges impact stock.,Google,negative,47,7,1,0,0,0,6.7
📈 Apple's future outlook worries shareholders.,Apple,negative,47,7,1,1,0,0,6.7
📉 Google's data privacy concerns escalate.,Google,negative,45,7,1,0,0,0,6.4
😡 Stuck at the airport with my #AppleWatch dead.,Apple,negative,47,9,1,1,0,1,4.9
😤 This flight delay is ruining my plans. #GoogleMaps,Google,negative,47,9,1,0,0,1,4.9
😩 Why does my iPhone battery always drain so fast?,Apple,negative,48,9,1,1,0,0,5.3
🙄 Missed my connection because of #GoogleAssistant.,Google,negative,49,8,1,0,0,1,6.1
😒 Can't believe my #MacBook just crashed again.,Apple,negative,46,8,1,1,0,1,5.8
😡 #GoogleMaps sent me on the longest route possible.,Google,negative,49,8,1,0,0,1,6.1
"😤 Flight canceled, and my #iPhone has no service.",Apple,negative,47,9,1,1,0,1,5.2
😩 Lost my way in a foreign city thanks to #GoogleMaps.,Google,negative,50,9,1,0,0,1,5.6
"🙄 Seriously, another software update? #AppleProblems",Apple,negative,47,9,1,1,0,1,5.2
😒 #GoogleAssistant misunderstood every command.,Google,negative,47,9,1,0,0,1,5.2
"😡 Flight delay, and my #iPad battery is low again.",Apple,negative,47,9,1,1,0,1,5.2
😤 #GoogleMaps navigation led me to a dead-end street.,Google,negative,49,9,1,0,0,1,5.4
"😩 My #iPhone keeps freezing, making me so frustrated.",Apple,negative,48,10,1,1,0,1,4.8
🙄 #GoogleAssistant responses are always off-track.,Google,negative,47,9,1,0,0,1,5.2
😒 Can't rely on my #AppleWatch for accurate directions.,Apple,negative,50,9,1,1,0,1,5.6
😡 #GoogleMaps took me through a never-ending detour.,Google,negative,49,9,1,0,0,1,5.4
"😤 Flight delayed, and my #iPhone camera is faulty.",Apple,negative,47,9,1,1,0,1,5.2
😩 #GoogleAssistant constantly misunderstands me.,Google,negative,47,9,1,0,0,1,5.2
"🙄 My #MacBook is so slow, it's driving me crazy.",Apple,negative,46,9,1,1,0,1,5.1
😒 #GoogleMaps suggested an impossibly long route.,Google,negative,48,9,1,0,0,1,5.3
"😡 Flight canceled, and my #iPhone has no signal.",Apple,negative,47,9,1,1,0,1,5.2
"Ugh, just had another #iPhone freeze! 😡",Apple,negative,38,8,1,1,0,1,4.8
#GoogleMaps navigation failed me again! 😤,Google,negative,42,7,1,0,0,1,6
"My #MacBook crashed, and I lost my work! 😩",Apple,negative,42,10,1,1,0,1,4.2
"Seriously, #GoogleAssistant? That's not what I said! 😒",Google,negative,51,10,1,0,0,1,4.1
#AppleWatch battery life is terrible! 😡,Apple,negative,39,7,1,1,0,1,5.6
#GoogleMaps took me on a wild goose chase! 😤,Google,negative,43,8,1,0,0,1,5.4
Just spent hours on the phone with #AppleSupport! 😩,Apple,negative,46,9,1,1,0,1,4.9
#GoogleAssistant is more frustrating than helpful! 😒,Google,negative,49,9,1,0,0,1,5.4
My new #iPhone keeps crashing! 😡,Apple,negative,35,7,1,1,0,1,5
"#GoogleMaps, please get your directions right! 😤",Google,negative,45,9,1,0,0,1,4.4
Can't believe my #MacBook froze again! 😩,Apple,negative,38,7,1,1,0,1,5.4
"#GoogleAssistant, you seriously need an upgrade! 😒",Google,negative,49,8,1,0,0,1,6.1
Just lost all my data on my #iPhone! 😡,Apple,negative,38,8,1,1,0,1,4.8
"#GoogleMaps, why are your directions so unreliable? 😤",Google,negative,52,9,1,0,0,1,5.8
So frustrated with my #AppleWatch! 😩,Apple,negative,39,7,1,1,0,1,5.6
"#GoogleAssistant, please understand me better! 😒",Google,negative,47,7,1,0,0,1,6.7
My #MacBook crashed in the middle of work! 😡,Apple,negative,38,9,1,1,0,1,4.2
"#GoogleMaps, your directions are a mess! 😤",Google,negative,42,8,1,0,0,1,5.3
#AppleSupport was of no help at all! 😩,Apple,negative,38,8,1,1,0,1,4.8
"#GoogleAssistant, stop giving irrelevant responses! 😒",Google,negative,53,8,1,0,0,1,6.6
My new #iPhone is already showing issues! 😡,Apple,negative,42,9,1,1,0,1,4.3
"#GoogleMaps, can't you find a better route? 😤",Google,negative,41,8,1,0,0,1,5.1
#AppleWatch battery drains way too fast! 😩,Apple,negative,42,7,1,1,0,1,5.7
"#GoogleAssistant, you need to improve! 😒",Google,negative,39,7,1,0,0,1,5.6
"#MacBook, I expected better performance! 😤",Apple,negative,38,8,1,1,0,1,4.5
#GoogleMaps keeps leading me astray! 😩,Google,negative,38,7,1,0,0,1,5.4
My #iPhone's battery life is terrible! 😡,Apple,negative,38,7,1,1,0,1,5.4
"#GoogleAssistant, get your facts straight! 😒",Google,negative,40,8,1,0,0,1,5
"""Extremely dissatisfied with the iPhone 13's battery life. What's the point of a smartphone that can't last a day? #iPhone13 #BatteryLife""",iPhone 13,negative,128,22,1,1,0,2,4.9
"""@AppleSupport, my MacBook Pro keeps crashing after the latest OS update. This is unacceptable for such a premium product! #MacBookPro #AppleSupport""",MacBook Pro,negative,145,22,1,1,1,2,5.7
"""Just experienced the worst customer service at the @Google store. Not impressed. #Google""",Google Store,negative,89,13,1,0,1,1,5.8
"""How many more updates until my Google Home actually understands me? It's frustrating! #GoogleHome""",Google Home,negative,92,14,1,0,0,1,5.7
"""@Apple, why does my brand new Apple Watch disconnect every hour? It's supposed to be a smartwatch! #AppleWatch""",Apple Watch,negative,119,19,1,1,1,1,5.3
"""Pixel 7's camera quality is a big disappointment. Can't believe @Google marketed it as their best yet. #Pixel7 #Google""",Pixel 7,negative,118,19,1,0,1,2,5.2
"""The latest iOS update is full of bugs. @Apple, we need a fix ASAP! #iOS #Apple""",iOS,negative,78,13,1,1,1,2,4.7
"""@GoogleMaps' new layout is just too confusing. It's a navigation app, not a puzzle! #GoogleMaps""",Google Maps,negative,101,15,1,0,1,1,5.7
"""My iPhone 12's FaceID has stopped working after just 6 months of use. This is ridiculous! #Apple #iPhone12""",iPhone 12,negative,112,19,1,1,0,2,5
"""It's 2023, @Google. Why does Gmail still not have an intuitive interface? #Gmail #Google""",Gmail,negative,83,13,1,0,1,2,5.3
"""Feeling frustrated with my new iPhone. It's so slow! #AppleFail""",iPhone,negative,63,10,1,1,0,1,4.8
"""Can't believe @Google still hasn't fixed the privacy issues on Chrome. So disappointing. #PrivacyMatters""",Google Chrome,negative,111,14,1,0,1,1,6.1
"""Another day, another bug with my Apple Watch. Can't handle this anymore. #Apple""",Apple Watch,negative,90,13,1,1,0,1,4.9
"""@Google, your search algorithm is biased and frustrating. You've lost a user. #GoogleFail""",Google Search,negative,92,12,1,0,1,1,6.2
"""I regret upgrading to the latest iOS. So many glitches. #Apple""",iOS,negative,70,11,1,1,0,1,5.1
"""Pixel 5's camera is a real letdown. Expected better from @Google. #Pixel5Fail""",Pixel 5,negative,83,11,1,0,1,1,6.3
"""The MacBook Air is way overpriced for such mediocre performance. @Apple needs to step up its game. #MacBookAir""",MacBook Air,negative,112,16,1,1,1,1,5.6
"""I can't get any work done because Google Docs keeps crashing. So frustrated! #GoogleDocsFail""",Google Docs,negative,94,13,1,0,0,1,6
"""@AppleSupport my iPhone 12 battery is draining too quickly. This is not okay. #iPhone12""",iPhone 12,negative,90,13,1,1,1,1,5.5
"""Hey @Google, your Maps app led me to a dead end. Literally. Not cool. #GoogleMapsFail""",Google Maps,negative,90,14,1,0,1,1,5.2
"""The iPad Pro is not as user-friendly as I expected. Disappointed in @Apple. #iPadProFail""",iPad Pro,negative,95,14,1,1,1,1,5.7
"""Gmail's spam filter is a joke. I'm drowning in junk mail. @Google, fix this! #GmailFail""",Gmail,negative,90,14,1,0,1,1,5.4
"""AirPods are not worth the hype. They're uncomfortable and expensive. #AppleAirPods""",AirPods,negative,84,10,1,1,0,1,7
"""Google Assistant doesn't understand half of what I say. So useless. #GoogleAssistantFail""",Google Assistant,negative,91,12,1,0,0,1,6.3
"""Why is the iOS App Store so difficult to navigate? @Apple needs to simplify it. #AppStoreFail""",App Store,negative,98,14,1,1,1,1,6
"""Google Drive's storage costs are outrageous. Time to find an alternative. #DriveFail""",Google Drive,negative,90,11,1,0,0,1,6.8
"""Just switched to a new iPhone. Already regretting it. The interface is terrible. #iPhoneFail""",iPhone,negative,92,13,1,1,0,1,6.1
"""Had high expectations from Google Stadia. It's a letdown with its limited library. #StadiaFail""",Google Stadia,negative,99,14,1,0,0,1,5.9
"""Can't believe I paid so much for this iMac. It's underperforming and overpriced. #iMacFail""",iMac,negative,89,12,1,1,0,1,6.2
"""The new Android OS update is full of bugs. What's going on, @Google? #AndroidFail""",Android,negative,85,13,1,0,1,1,5.5
"""My Apple Music experience is awful. The playlist algorithm is terrible. #AppleMusicFail""",Apple Music,negative,94,11,1,1,0,1,7.3
"""YouTube's new update is a user experience nightmare. Come on, @Google! #YouTubeFail""",YouTube,negative,90,11,1,0,1,1,7.2
"""The iPad's battery life is a joke. It doesn't even last half a day. @Apple, fix this! #iPadFail""",iPad,negative,97,16,1,1,1,1,5.1
"""Google Photos' new layout is confusing. Bring back the old one! #GooglePhotosFail""",Google Photos,negative,88,12,1,0,0,1,6.2
"""iCloud's pricing model is a rip-off. Looking for alternatives now. #iCloudFail""",iCloud,negative,78,11,1,1,0,1,6.1
"""The new Google Pixel update is a battery killer. Very disappointed. #GooglePixelFail""",Google Pixel,negative,98,12,1,0,0,1,6.8
"""This Apple Watch Series 7 isn't worth its price. Feeling ripped off. #AppleWatch7Fail""",Apple Watch Series 7,negative,93,12,1,1,0,1,6.4
"""Chrome's constant updates are so annoying. Can't get any work done. @Google #ChromeFail""",Chrome,negative,91,13,1,0,1,1,5.8
"""The new iPhone's facial recognition is extremely faulty. This is unacceptable. #iPhoneFail""",iPhone,negative,100,12,1,1,0,1,7.3
"""Google Assistant keeps misunderstanding my commands. It's frustrating! #AssistantFail""",Google Assistant,negative,93,9,1,0,0,1,8.3
"""Macbook Pro's keyboard is so unresponsive. Can't believe I paid this much. @Apple #MacbookProFail""",Macbook Pro,negative,114,15,1,1,1,1,6.3
"""Android's latest update is full of glitches. Extremely disappointing. #AndroidFail""",Android,negative,82,10,1,0,0,1,6.7
"""I thought AirPods Pro would be a game-changer, but they're just overpriced earbuds. #AirPodsProFail""",AirPods Pro,negative,104,14,1,1,0,1,6.5
"""What's with the new Google Calendar UI? It's cluttered and non-intuitive. @Google #CalendarFail""",Google Calendar,negative,103,13,1,0,1,1,6.5
"""I regret updating to the latest iOS. It has ruined my user experience. #iOSFail""",iOS,negative,86,13,1,1,0,1,5.6
"""Pixel 6's camera quality is not as advertised. It's not even close. #Pixel6Fail""",Pixel 6,negative,83,12,1,0,0,1,6.1
"""The iPad mini's performance has been abysmal. Not worth the investment. #iPadMiniFail""",iPad mini,negative,91,12,1,1,0,1,6.4
"""Why is Google Sheets so slow and laggy? It's a productivity killer. #SheetsFail""",Google Sheets,negative,84,12,1,0,0,1,6.1
"""Siri's accuracy leaves a lot to be desired. It's more of a nuisance than a help. #SiriFail""",Siri,negative,93,15,1,1,0,1,5.2
"""I can't believe how intrusive Google Ads has become. It's ruining my browsing experience. #GoogleAdsFail""",Google Ads,negative,108,14,1,0,0,1,6.6
"Why is iTunes still so complicated to use? It's 2023, @Apple. #iTunesFail""",iTunes,negative,77,12,1,1,1,1,5.4
"""Google Photos' new update is a privacy nightmare. Looking for alternatives. #PhotosFail""",Google Photos,negative,93,12,1,0,0,1,6.5
